"date","open","high","low","close","adj_close","volume","ma_200","ma_50","ma_21","ma_7"
"2020-04-14","70","72.0625","69.5125","71.7625","70.9834","194994800","63.2904","70.1571","62.9919","66.3454"
"2020-04-15","70.6","71.5825","70.1575","71.1075","70.3355","131154400","63.3986","70.0359","63.4945","67.8818"
"2020-04-16","71.845","72.05","70.5875","71.6725","70.8944","157125200","63.505","69.8752","63.8973","68.7468"
"2020-04-17","71.1725","71.7375","69.215","70.7","69.9324","215250000","63.6051","69.6819","64.3274","69.5814"
"2020-04-20","69.4875","70.42","69.2125","69.2325","68.4809","130015200","63.6957","69.4405","64.7101","69.9693"
"2020-04-21","69.07","69.3125","66.3575","67.0925","66.3641","180991600","63.7759","69.1822","65.1759","69.9829"
"2020-04-22","68.4025","69.475","68.05","69.025","68.2756","116862400","63.871","68.9549","65.7918","70.0846"
"2020-04-23","68.9675","70.4375","68.7175","68.7575","68.011","124814400","63.9632","68.732","66.1269","69.6554"
"2020-04-24","69.3","70.7525","69.25","70.7425","69.9745","126161200","64.0629","68.5109","66.5727","69.6032"
"2020-04-27","70.45","71.135","69.9875","70.7925","70.0239","117087600","64.1647","68.3024","66.8671","69.4775"
"2020-04-28","71.27","71.4575","69.55","69.645","68.8889","112004800","64.2588","68.0705","67.2343","69.3268"
"2020-04-29","71.1825","72.4175","70.9725","71.9325","71.1516","137280800","64.3619","67.9142","67.6262","69.7125"
"2020-04-30","72.49","73.6325","72.0875","73.45","72.6526","183064000","64.4736","67.7651","68.0965","70.6207"
"2020-05-01","71.5625","74.75","71.4625","72.2675","71.4829","240616800","64.5807","67.6089","68.6699","71.0839"
"2020-05-04","72.2925","73.4225","71.58","73.29","72.4943","133568000","64.6901","67.5095","69.244","71.7314"
"2020-05-05","73.765","75.25","73.615","74.39","73.5824","147751200","64.8088","67.5064","69.9125","72.2525"
"2020-05-06","75.115","75.81","74.7175","75.1575","74.3416","142333600","64.9256","67.5692","70.3668","72.8761"
"2020-05-07","75.805","76.2925","75.4925","75.935","75.1106","115215200","65.0442","67.6246","70.8943","73.7746"
"2020-05-08","76.41","77.5875","76.0725","77.5325","76.8984","133838400","65.171","67.8076","71.4188","74.5746"
"2020-05-11","77.025","79.2625","76.81","78.7525","78.1084","145946400","65.306","68.0159","71.9786","75.3321"
